"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","HTTP","",""
"pre_128cipher","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","",""
"SSLv3","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","",""
"TLS1","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","",""
"TLS1_1","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","",""
"TLS1_2","www.vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"TLS1_3","www.vigicrues.gouv.fr/37.235.89.99","443","OK","offered with final","",""
"ALPN_HTTP2","www.vigicrues.gouv.fr/37.235.89.99","443","OK","h2","",""
"ALPN","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","http/1.1","",""
"cipherlist_NULL","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.vigicrues.gouv.fr/37.235.89.99","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"cipherlist_STRONG_FS","www.vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"cipher_order-tls1_2","www.vigicrues.gouv.fr/37.235.89.99","443","OK","server","",""
"cipherorder_TLSv1_2","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.vigicrues.gouv.fr/37.235.89.99","443","OK","server","",""
"FS","www.vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"FS_ciphers","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.vigicrues.gouv.fr/37.235.89.99","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","yes","",""
"sessionresumption_ticket","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","supported","",""
"sessionresumption_ID","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","supported","",""
"TLS_timestamp","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","random","",""
"certificate_compression","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","none","",""
"clientAuth","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","none","",""
"cert_numbers","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","1","",""
"cert_signatureAlgorithm","www.vigicrues.gouv.fr/37.235.89.99","443","OK","SHA256 with RSA","",""
"cert_keySize","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","7C12BE5E830300858A62312CD1C4E019","",""
"cert_serialNumberLen","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","16","",""
"cert_fingerprintSHA1","www.vigicrues.gouv.fr/37.235.89.99","443","INFO","582E4FC8398D10749640B5AD1A07F59C60A7A942","",""
