"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","HTTP","",""
"pre_128cipher","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","not offered","",""
"SSLv3","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","not offered","",""
"TLS1","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","not offered","",""
"TLS1_1","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","not offered","",""
"TLS1_2","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","offered","",""
"TLS1_3","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","offered with final","",""
"ALPN_HTTP2","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","h2","",""
"cipherlist_NULL","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.fonction-publique.gouv.fr/46.105.198.39","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","offered","",""
"cipher_order-tls1_2","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","server","",""
"cipherorder_TLSv1_2","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","server","",""
"FS","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","offered","",""
"FS_ciphers","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.fonction-publique.gouv.fr/46.105.198.39","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","yes","",""
"sessionresumption_ticket","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","not supported","",""
"sessionresumption_ID","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","not supported","",""
"TLS_timestamp","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","random","",""
"certificate_compression","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","none","",""
"clientAuth","www.fonction-publique.gouv.fr/46.105.198.39","443","INFO","none","",""
